Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
153	HL	9.7	10.01431	0.436472305	b	0.032300642	22.100	2.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
154	HL	11.4	10.61653	0.484358556	a	0.05248669	23.100	2.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
155	HL	6.5	8.52142	0.23056182	c	0.006519529	24.300	1.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
156	HL	13.1	11.13489	0.515120892	a	0.077308526	24.100	3.382	0	0	0	0	1	0	0	0	0	0	1	0	0	0												
157	HL	17.5	12.21482	0.557429683	b	0.163773309	25.000	5.510	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
158	HL	15.4	11.73810	0.541744572	c	0.118446933	24.800	7.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
159	HL	11.6	10.68139	0.488680063	b	0.055164309	24.900	9.435	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
160	HL	16.9	12.08472	0.553547593	b	0.150056487	24.800	11.573	0	0	0	0	0	0	0	0	0	0	0	1	0	0												
161	HL	21.0	12.89473	0.573694789	b	0.256225136	25.000	13.633	1	0	0	0	1	0	0	1	0	1	1	0	1	1												
162	HL	8.8	9.65118	0.399580485	c	0.023455252	26.000	14.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
163	HL	11.8	10.74514	0.492787509	a	0.057906263	25.200	16.796	0	1	0	1	0	1	0	0	0	0	0	0	0	0												
164	HL	7.1	8.85069	0.289938647	c	0.010159904	24.400	17.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
165	HL	17.3	12.17195	0.556181348	b	0.159132481	25.100	21.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
166	HL	6.5	8.52142	0.23056182	b	0.006519529	25.300	22.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
167	HL	15.5	11.76224	0.542640652	b	0.120435817	26.300	23.572	0	0	0	0	0	1	0	1	0	0	0	0	1	0												
168	HL	18.3	12.38152	0.562011287	b	0.183025205	26.400	25.710	0	0	0	0	0	0	0	0	0	1	0	0	0	0												
169	HL	15.1	11.66474	0.538947974	a	0.112581147	26.400	27.633	0	0	1	0	0	0	0	0	0	0	0	1	0	1												
170	HL	14.7	11.56462	0.534948222	b	0.104994778	26.300	29.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
171	HL	22.4	13.13541	0.578093775	c	0.299245652	28.200	28.326	0	1	0	0	0	0	0	0	0	0	1	0	0	0												
172	SS	16.2	11.40000	0.463621747	b	0.108940299	28.200	25.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
173	SS	16.1	11.65000	0.466239249	c	0.11057995	27.800	24.899	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
174	HL	6.1	8.28457	0.181531183	b	0.00439512	28.800	24.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
175	HL	9.0	9.73499	0.408709359	a	0.025311914	28.500	23.620	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
176	HL	11.1	10.51708	0.477441967	a	0.048590525	29.400	21.931	0	0	0	0	0	0	0	0	0	0	0	1	0	0												
177	HL	12.8	11.04849	0.510558082	b	0.072586848	29.000	20.643	0	0	0	0	0	0	0	0	0	1	0	0	0	0												
178	HL	13.0	11.10631	0.513634685	a	0.075718271	27.400	20.613	1	1	1	0	0	0	0	1	0	0	0	0	0	1												
179	SP	18.6	10.90000	0.513827958	b	0.152180848	28.300	18.026	0	1	0	0	0	0	0	0	0	0	1	0	0	0												
180	HL	7.9	9.24884	0.349948395	b	0.015864835	26.800	16.767	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
181	SP	14.8	9.80000	0.531548181	b	0.089615271	27.900	13.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
182	HL	6.9	8.74413	0.271765124	a	0.008885838	26.200	12.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
183	HL	10.5	10.30985	0.461830473	b	0.041229052	27.200	10.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
184	HL	6.3	8.40488	0.207141378	b	0.005427118	28.500	9.357	0	0	0	0	0	0	1	0	0	0	0	0	0	0												
185	HL	15.6	11.78622	0.543519424	a	0.122441542	27.600	8.420	0	0	0	0	0	0	0	0	0	0	0	1	0	0												
186	HL	16.5	11.99539	0.550716399	a	0.141253822	27.300	8.537	0	0	0	1	0	0	0	0	0	0	0	0	0	0												
187	HL	9.3	9.85727	0.421350944	a	0.028213463	26.600	7.951	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
188	HL	11.7	10.71340	0.49075966	a	0.056527233	27.800	5.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
189	HL	10.1	10.16501	0.449883379	b	0.036638718	27.400	4.847	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
190	HL	9.4	9.89715	0.425306997	b	0.02921181	27.600	4.632	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
191	HL	11.1	10.51708	0.477441967	a	0.048590525	27.300	4.339	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
192	HL	16.9	12.08472	0.553547593	b	0.150056487	26.700	2.757	0	0	1	0	0	0	0	0	1	1	0	1	1	0												
193	HL	8.1	9.34208	0.36235966	c	0.017443889	26.500	1.273	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
194	HL	14.5	11.51354	0.532822748	b	0.10130184	28.100	2.611	1	0	0	1	1	0	0	1	0	0	0	0	0	0												
195	HL	14.5	11.51354	0.532822748	b	0.10130184	29.700	1.927	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
196	HL	7.8	9.20134	0.343397983	a	0.015098292	30.900	4.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
197	HL	10.0	10.12790	0.446676674	a	0.035530603	30.100	5.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
198	HL	14.7	11.56462	0.534948222	a	0.104994778	29.900	6.467	0	0	1	0	1	1	1	0	1	0	1	0	1	1												
199	HL	6.4	8.46361	0.219109444	c	0.005965768	29.200	7.541	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
200	HL	8.4	9.47770	0.37940682	b	0.019927675	29.900	8.810	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
201	HL	13.5	11.24705	0.520741565	b	0.083833636	30.100	11.739	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
202	HL	18.4	12.40184	0.562541269	a	0.185509423	30.3	11.56331153	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
203	HL	19.9	12.69409	0.569528444	b	0.22486046	30.1	14.10163038	1	1	1	1	1	0	1	1	1	1	0	1	1	1												
204	HL	10.3	10.23813	0.45602631	b	0.038902267	30.3	15.72224934	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
205	HL	11.1	10.51708	0.477441967	a	0.048590525	30.7	17.89934589	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
206	HL	6.1	8.28457	0.181531183	c	0.00439512	30	19.65664356	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
