Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AC1	BB1	CK1	CP1	IP1	IS1	JH1	KT1	LT1	NW1	TC1	TH1	VH1														
171	SS	28.5	22.46690	0.489311887	b	0.70130742	18.620	14.281	0	0	0	0	0	0	0	0	0	0	0	0	0														
172	SS	29.1	22.61232	0.487668492	a	0.733407912	27.245	11.181	0	0	0	0	0	0	0	0	0	0	0	0	0														
173	SS	30.4	22.91737	0.484082689	b	0.805232581	4.215168	4.023278277	0	0	0	0	0	0	0	0	0	0	1	0	0														
174	SS	22.3	20.75460	0.50477157	c	0.409174874	8.66908	14.84139863	0	0	0	1	0	1	1	1	1	0	1	0	0														
175	SS	29.9	22.80161	0.485464794	a	0.777240741	31.23744	2.043175891	0	0	0	0	0	0	0	0	0	0	0	0	0														
176	SS	30.6	22.96314	0.483529188	a	0.816557297	31.875876	21.39022506	0	0	0	0	0	0	0	0	0	0	0	0	0														
177	SS	31.0	23.05379	0.482421478	a	0.839425553	38.08074	25.31179368	0	0	0	0	0	0	0	0	0	0	0	0	0														
178	SS	30.8	23.00861	0.482975426	b	0.827954989	39.556728	18.94648894	0	0	0	0	0	0	0	0	0	0	0	0	0														
179	SS	30.3	22.89437	0.484359318	b	0.799597621	21.68048	26.49985511	0	0	0	0	0	0	0	0	0	0	1	0	0														
180	SS	32.4	23.36210	0.478544113	a	0.92175122	30.620172	7.925528832	0	0	0	0	0	0	0	0	0	0	0	0	0														
181	SS	32.5	23.38361	0.478267492	a	0.927767131	38.257796	13.85617695	0	0	0	0	0	0	0	0	0	0	0	0	0														
182	SS	33.3	23.55334	0.476057901	b	0.976541329	37.067848	7.548826427	0	0	0	0	0	0	0	0	0	0	0	0	0														
183	SS	32.9	23.46899	0.477161868	b	0.952010643	26.007376	13.52776973	0	0	0	0	0	0	0	0	0	0	0	0	0														
